Date,Open,High,Low,Close,Adj Close,Volume,close-open,increase yes or no,50day moving average,50 moving day average,100 day moving average,100 day moving average beat,AMD News,Quarterly earnings
2020-01-17,50.200001,51.049999,49.900002,50.93,50.93,57722500,0.729999,yes,42.56740016,No,36.70130003,No,No,No
2020-01-21,50.959999,51.810001,50.700001,51.049999,51.049999,49095000,0.09,yes,42.86980014,No,36.90980001,No,No,No
2020-01-22,51.630001,51.880001,51.200001,51.43,51.43,40772200,-0.200001,no,43.17280016,No,37.1163,No,No,No
2020-01-23,51.34,51.75,50.740002,51.709999,51.709999,40135400,0.369999,yes,43.48120012,No,37.31889998,No,No,No
2020-01-24,52.279999,52.810001,49.470001,50.349998,50.349998,80004900,-1.930001,no,43.76200006,No,37.50789995,No,No,No
2020-01-27,48.450001,49.790001,47.900002,49.259998,49.259998,48878600,0.809997,yes,44.01300004,No,37.69149993,No,No,No
2020-01-28,50.029999,50.849998,49.48,50.529999,50.529999,62343800,0.5,yes,44.27320002,No,37.88729991,No,Yes,Yes
2020-01-29,47.84,48.07,46.099998,47.509998,47.509998,112349900,-0.330002,no,44.45640002,No,38.04739989,No,No,No
2020-01-30,46.490002,48.810001,46.130001,48.779999,48.779999,70460200,2.289997,yes,44.66079998,No,38.22959989,No,No,No
2020-01-31,48.400002,48.580002,46.790001,47,47,60322400,-1.400002,no,44.80319996,No,38.39459989,No,No,No
2020-02-03,46.400002,48.099998,46.23,48.02,48.02,47077000,1.619998,yes,44.93779994,No,38.57249989,No,No,No
2020-02-04,49.209999,49.75,48.610001,49.450001,49.450001,46302100,0.240002,yes,45.10719996,No,38.7693999,No,Yes,No
2020-02-05,50.290001,50.419998,49.310001,49.84,49.84,42737100,-0.450001,no,45.31359996,No,38.96569991,No,Yes,No
2020-02-06,48.799999,49.389999,47.630001,49.32,49.32,48670600,0.520001,yes,45.51699992,No,39.1519999,No,No,No
2020-02-07,48.91,50.669998,48.639999,49.73,49.73,53107600,0.82,yes,45.7157999,No,39.3409999,No,No,No
2020-02-10,49.470001,52.299999,49.349998,52.259998,52.259998,60971700,2.789997,yes,45.98119982,No,39.55369988,No,Yes,No
2020-02-11,53.220001,54.48,52.91,53.799999,53.799999,74719100,0.579998,yes,46.2689998,No,39.78749987,No,No,No
2020-02-12,54.529999,54.849998,53.529999,53.889999,53.889999,45994900,-0.64,no,46.56379974,No,40.02349985,No,No,No
